"



引用28楼 @悼念柳下惠 发表的:不该可惜因为给他们太多机会了 第1天fpp反向4次 tpp第一天反向3次 最后1天反向1次 然后天命圈 没吃鸡少了200分 机会给他们了 他们没稳住没办法 应该吸取教训 以后会超过omg的虽然现在4am去了 但是没感觉多厉害是偷鸡去的这柠檬怎么那么酸呢




",关于本次PCPI最后一局的真相,一叶知冬暖
"



引用2楼 @VTA_AKM 发表的:真的打不过，强队就是强队，服了vta这次发挥的不错了。不过我建议你看一下澳洲4am的比赛，他们眼里只有冠军，为此主动跳点去找排名第一的队伍。虽然后面失败了，但这就是这个游戏的精髓。vta加油，期待以后有更好的发挥！
发自虎扑iPhone客户端



",关于本次PCPI最后一局的真相,佛za米兰
"



引用21楼 @VTA_AKM 发表的:你误会了，麻烦往前看一句～～我说的是“也许有人说”，因为确实有人和我说了，我们和17完全没问题，中途休息还在楼下和他们一起说跳不跳p城作为17粉 虽然昨晚很难受，但我一直都期盼有人能去p城骚下17，因为我们目标是世界第一，国际赛场不可能会有直接让p城的情况，假如假如17出现了，我觉得17真的很需要在压力大的情况下，能在p城中有所表现，假如还有下次，请大胆来p城！ 
发自虎扑iPhone客户端



",关于本次PCPI最后一局的真相,日不死
"



引用2楼 @VTA_AKM 发表的:真的打不过，强队就是强队，服了不是打不过，猪头大概就是小说主角吧，
发自虎扑Android客户端



",关于本次PCPI最后一局的真相,余风与你
"



4am也是和你们一样的选择,只不过更苛刻,首先17要在10名开外,你们要5名开外,4am必须吃鸡并且杀人要在15杀左右




",关于本次PCPI最后一局的真相,一叶知冬暖
"



引用2楼 @VTA_AKM 发表的:真的打不过，强队就是强队，服了这次比赛的成绩已经能证明自己了去，可能跟顶级强队可能就差那一口气吧，不过也不必妄自菲簙，最后一场4am打出来了相信你们也一定可以的
发自虎扑iPhone客户端



",关于本次PCPI最后一局的真相,zczyts
"



你们打的确实挺好的，加油吧，以后的路还很长。
发自虎扑iPhone客户端



",关于本次PCPI最后一局的真相,情不自禁的吻
"



我不认为教练战术上有错。
发自虎扑iPhone客户端



",关于本次PCPI最后一局的真相,c拐角遇到你c
"



讲道理，vta真的是最大的黑马！人们评估一个队伍的强大与否，参考最多的第一是吃鸡数，第二击杀数！但是不要忘了这个游戏叫做绝地求生！最后的生存是最牛逼的！ 这次比赛尤其TPP模式vta的前五率真的是相当高，这是所有的队伍都比不了的！第二 这个队伍的纪律性非常强！我不了解这个队伍的指挥是谁对队员个人不太熟悉，抱歉关注的少！但是看得出是一致的统一的，执行力非常强！能打能忍！ 虽然遗憾三甲，但是未来可期！他们身上的这些优点，真的值得所有的国内的战队学习，研究！感谢vta.未来的中国队伍，绝对有你们一席之地！Ps我是4am粉
发自虎扑iPhone客户端



",关于本次PCPI最后一局的真相,北五环jrs
"



其实命运有些时候就是这么喜欢开玩笑，其实也算心态问题；比如我们买汽车的保险一样的，买了好几年一点破事没有，偏偏就没买的时候会出事。而比赛靠前的队伍，越想稳，这个局势就越不让你稳，而且这种还不同以往的FPS游戏，无法预料的东西，因素太多了。比如有人就吃毒读你，车子翻车，天谴圈，落地没车。而恰恰就这种想法就造成了打的完全不同以往的风格，不同以往的战术。然后打下第一容易，守住第一难




",关于本次PCPI最后一局的真相,刀鋒刺骨寒
"



引用30楼 @一叶知冬暖 发表的:这柠檬怎么那么酸呢我记得解说说过一句话特别好，只有吃鸡的人才有资格说自己运气好！
发自虎扑Android客户端



",关于本次PCPI最后一局的真相,龙的传人龙傲天
"



引用2楼 @VTA_AKM 发表的:真的打不过，强队就是强队，服了我不是电竞选手，但是给你们提些建议，可能不对，但是这是我的理解，前期你们打的非常好，很有节奏，积分一直第一，到期后越往后你们打的越缩手缩脚，遇到队伍不管是实谁，你们的第一想法不是排好战术反击，而是想着怎么转移，避开，这样盲目的转移就容易掉人，如果你们可以反击，我觉得你们的成绩会很理想，去德国的几率也很大，而17跟你们犯了同样的错误，4AM之前一直找中心房区，以至于让17这样的高点山头战队卡的很死，但是最后一把，17也想稳中求胜找了个房区，而4AM却拉到了高点，打的很主动，绝地求生运气是一部分，对于技战术我觉得非常重要，你们打的也很不错了，加油吧。
发自虎扑iPhone客户端



",关于本次PCPI最后一局的真相,绝经逢生
"



我是4AM粉。说实话，总决赛前真的不知道你们这个队，但TPP时你们大多时间都是榜首，就一直在关注怎么能超你们。我最佩服你们的进圈选点的运营能力，不是运气太差的情况下，真的超级稳。也看到过许多精彩的击杀。和那些强队比，或许差的只是比赛的经验了。4AM这次能拿冠军，不得不说是他们的抗压能力真强，越是绝境越是能有神奇发挥。也许可以参加一些抗压能力的培训，对于比赛的发挥稳定很有帮助。
发自虎扑Android客户端



",关于本次PCPI最后一局的真相,丿Spurs丿Go
"



加油吧，你们打的挺牛逼的，有点东西
发自虎扑iPhone客户端



",关于本次PCPI最后一局的真相,报ID的没XJJ
"



这几天的比赛发现，这个比赛关键时刻真的不能求稳，一求稳就很容易犹豫，一犹豫就会错失战机，国内战队现在进圈那么早，只要犹豫一分钟，圈内必被占满，那个时候等待的必是被卡死，前两天的OMG差点被翻盘，到昨天17被逆转就是太犹豫了，17昨天要是拼死占下炮楼拉开抢线不让4AM过去，就不会有大逆转，还有你们毒里打掉RNG的时候就已经很拖节奏了，那个时候圈里已经被占满了，再进圈就算能进去也只能找个地方fnk了，特别是最后几把，分明感觉到丢失了自己的节奏，不然多进两次决赛圈就是稳赢的！
发自虎扑iPhone客户端



",关于本次PCPI最后一局的真相,小Vnn
"



引用2楼 @VTA_AKM 发表的:真的打不过，强队就是强队，服了不是打不过，是战术使然，17和vta都是战术求稳，反而4am破釜沉舟，加上天命眷顾，拿下这次胜利，都很强，都挺惋惜的。
发自虎扑iPhone客户端



",关于本次PCPI最后一局的真相,啦啦啦365
"



有一种职业 叫水军有一类人 叫脑残




",pcpi结束了，看了一遍重播。,JoeyZhang159210
"



喷子哪有都有，很正常。虎牙也有很多喷高德伟的
发自虎扑iPhone客户端



",pcpi结束了，看了一遍重播。,我妻由乃萌萌哒丶
"



斗鱼喷17 虎牙喷4am 一直都这样
发自虎扑iPhone客户端



",pcpi结束了，看了一遍重播。,z200817101
"



4am粉看到内心毫无波动啊……   别带节奏了  铁汁
发自虎扑Android客户端



",这就有点意思了17官博点赞嘲讽,小气鬼喝凉水么
"



卑鄙的胜利者？ 




",这就有点意思了17官博点赞嘲讽,退赛是因为第二场
"



我的天，虽然4am脑残粉和反串黑不少这是无法避免的，但是蜜蜂仔和官博处理事情都挺好挺理智的，引导粉丝都是正面的。这个是真的高下立判了。。
发自虎扑iPhone客户端



",这就有点意思了17官博点赞嘲讽,4am_XDD
"



这官博的管理者是nc吧？
发自虎扑Android客户端



",这就有点意思了17官博点赞嘲讽,素年锦时静待君丶
"



只能说这个官博🐂🍺
发自虎扑iPhone客户端



",这就有点意思了17官博点赞嘲讽,徐鳯年
"



卑鄙的胜利者？那是真的牛皮  虽然知道17粉丝群体大难免有些脑残但是一个官博做出这种操作有脑子吗？输不起？




",这就有点意思了17官博点赞嘲讽,Lyiaung
"



参考fpp，omg夺冠时，211在干什么怎么就还输不起了呢没哪个风度也就算了，还点这种赞，怕是官博要换个人管理了。17的队员我认为没什么但是这个官博怕是zs要充值
发自虎扑iPhone客户端



",这就有点意思了17官博点赞嘲讽,MAJjam
"



不好意思，4am有机票！~哈哈哈




",这就有点意思了17官博点赞嘲讽,控球如小白
"



我是totol。大哥找不到你私信。因为实在太多了。让我问你微信
发自虎扑iPhone客户端



",致A+，做了一个小决定，想为自己喜欢的战队搞点事情。,totol88
"



顶一下ifty涅槃重生
发自虎扑iPhone客户端



",致A+，做了一个小决定，想为自己喜欢的战队搞点事情。,伊宁第一pubger
"



老哥牛逼，有心了。ifty有你这种粉丝是真的幸福
发自虎扑iPhone客户端



",致A+，做了一个小决定，想为自己喜欢的战队搞点事情。,M416_98K
"



兄弟们，已经跟大哥联系上，感谢大家关注
发自虎扑iPhone客户端



",致A+，做了一个小决定，想为自己喜欢的战队搞点事情。,低调的蓝蓝
"



向老哥竖一个大拇指！基于A+吸粉的来源，我想IFTY应该有很多这种30+的粉丝（本人也是，35），这些人里应该有很多都产生过类似于老哥的这种想法（本人也是，此处有贴金的嫌疑），毕竟IFTY的很多问题，都还是可以用科学的、合适的现代企业管理办法来解决，30+粉丝里不缺这一类的能手，再加上看似矫情的“梦想”、“热爱”……想为IFTY出一份力的不在少数。老哥提出这个具备可行性的方法，无论是因为自己经济条件好、工作条件允许还是什么原因，都体现了我们30+粉丝与众不同的热情。为你喝彩！为梦想喝彩！盼有所成！




",致A+，做了一个小决定，想为自己喜欢的战队搞点事情。,fanfanking
"



作为一个30+的粉丝今天和另一个兄弟赛后去场馆外堵大哥，见面刚打完招呼，大哥第一句话就是“不好意思，不好意思”说实话当时我心里很难受，大哥承担了太多了。一句不好意思让我鼻子酸酸的！分开的时候大哥一步三回头一直做谢谢的手势，我就一个想法，我粉对人了！路还长，大哥你若坚持，我必相随！
发自虎扑iPhone客户端



",致A+，做了一个小决定，想为自己喜欢的战队搞点事情。,就是一老张
"



支持支持  dog rich  never forget 
发自虎扑Android客户端



",致A+，做了一个小决定，想为自己喜欢的战队搞点事情。,夹谷亦云
"



引用57楼 @低调的蓝蓝 发表的:嗯，给赛妈打打下手也无所谓，不在乎名利，只想做点事情而已还给他打下手 给他脸了 
发自虎扑Android客户端



",致A+，做了一个小决定，想为自己喜欢的战队搞点事情。,qq53a65911e62ba
